Freq.	V(p)/v(of)
1.00000000000000e+00	(7.88029941077290e+01dB,1.79752594394018e+02°)
1.25892541179417e+00	(7.88029696849108e+01dB,1.79688517614535e+02°)
1.58489319246111e+00	(7.88029309774372e+01dB,1.79607853625877e+02°)
1.99526231496888e+00	(7.88028696307621e+01dB,1.79506307138450e+02°)
2.51188643150958e+00	(7.88027724036087e+01dB,1.79378471153677e+02°)
3.16227766016838e+00	(7.88026183114741e+01dB,1.79217539380068e+02°)
3.98107170553497e+00	(7.88023740977154e+01dB,1.79014944488596e+02°)
5.01187233627272e+00	(7.88019870597896e+01dB,1.78759903297946e+02°)
6.30957344480194e+00	(7.88013736835060e+01dB,1.78438845376904e+02°)
7.94328234724282e+00	(7.88004016412538e+01dB,1.78034696046040e+02°)
1.00000000000000e+01	(7.87988612934544e+01dB,1.77525978408214e+02°)
1.25892541179417e+01	(7.87964205979564e+01dB,1.76885692189250e+02°)
1.58489319246111e+01	(7.87925538399139e+01dB,1.76079920827572e+02°)
1.99526231496888e+01	(7.87864291643979e+01dB,1.75066114771079e+02°)
2.51188643150958e+01	(7.87767315442756e+01dB,1.73791003412572e+02°)
3.16227766016838e+01	(7.87613852417248e+01dB,1.72188110972484e+02°)
3.98107170553498e+01	(7.87371214978003e+01dB,1.70174913545553e+02°)
5.01187233627273e+01	(7.86988120487109e+01dB,1.67649814504840e+02°)
6.30957344480194e+01	(7.86384585789670e+01dB,1.64489403260851e+02°)
7.94328234724282e+01	(7.85437015578978e+01dB,1.60547011217264e+02°)
1.00000000000000e+02	(7.83957173710687e+01dB,1.55654539082917e+02°)
1.25892541179417e+02	(7.81664777618852e+01dB,1.49631002056153e+02°)
1.58489319246112e+02	(7.78156778682021e+01dB,1.42302964725270e+02°)
1.99526231496888e+02	(7.72883601357492e+01dB,1.33542685330560e+02°)
2.51188643150958e+02	(7.65153677374009e+01dB,1.23326079781875e+02°)
3.16227766016838e+02	(7.54195939317837e+01dB,1.11800164744490e+02°)
3.98107170553498e+02	(7.39298662858679e+01dB,9.93293147806350e+01°)
5.01187233627273e+02	(7.19997488216068e+01dB,8.64777916950586e+01°)
6.30957344480194e+02	(6.96227316471318e+01dB,7.39086691674244e+01°)
7.94328234724283e+02	(6.68346298026766e+01dB,6.22350467427193e+01°)
1.00000000000000e+03	(6.37016305579068e+01dB,5.18980659577759e+01°)
1.25892541179417e+03	(6.03016109275633e+01dB,4.31242084810004e+01°)
1.58489319246112e+03	(5.67083329719075e+01dB,3.59570432274627e+01°)
1.99526231496888e+03	(5.29831571743863e+01dB,3.03231720328206e+01°)
2.51188643150958e+03	(4.91735021574540e+01dB,2.60957904629159e+01°)
3.16227766016839e+03	(4.53151799511862e+01dB,2.31394354759506e+01°)
3.98107170553498e+03	(4.14361950649614e+01dB,2.13346534589722e+01°)
5.01187233627273e+03	(3.75607183934732e+01dB,2.05867456171842e+01°)
6.30957344480195e+03	(3.37127221751902e+01dB,2.08222109645683e+01°)
7.94328234724283e+03	(2.99189808747307e+01dB,2.19741409514966e+01°)
1.00000000000000e+04	(2.62108835052787e+01dB,2.39563587309877e+01°)
1.25892541179417e+04	(2.26239747406054e+01dB,2.66278269642804e+01°)
1.58489319246112e+04	(1.91938592734962e+01dB,2.97555417018288e+01°)
1.99526231496888e+04	(1.59479609462492e+01dB,3.29939773529386e+01°)
2.51188643150959e+04	(1.28951493153354e+01dB,3.59028280481640e+01°)
3.16227766016839e+04	(1.00180073405918e+01dB,3.80102313058404e+01°)
3.98107170553498e+04	(7.27226251789584e+00dB,3.89000380719946e+01°)
5.01187233627274e+04	(4.59378589230621e+00dB,3.82867606624264e+01°)
6.30957344480195e+04	(1.90986569800366e+00dB,3.60570842854069e+01°)
7.94328234724284e+04	(-8.48141432718091e-01dB,3.22787664542915e+01°)
1.00000000000000e+05	(-3.73172716103083e+00dB,2.71791162226910e+01°)
1.25892541179417e+05	(-6.76336180286929e+00dB,2.10871438751888e+01°)
1.58489319246112e+05	(-9.92978807223245e+00dB,1.43447309063502e+01°)
1.99526231496889e+05	(-1.31835015711885e+01dB,7.21958921687248e+00°)
2.51188643150959e+05	(-1.64508616041172e+01dB,-1.40902719413544e-01°)
3.16227766016839e+05	(-1.96428048531595e+01dB,-7.70511243692007e+00°)
3.98107170553498e+05	(-2.26669144354456e+01dB,-1.55267950045034e+01°)
5.01187233627274e+05	(-2.54437214253586e+01dB,-2.37252587942805e+01°)
6.30957344480195e+05	(-2.79302472738026e+01dB,-3.24930533279025e+01°)
7.94328234724284e+05	(-3.01484693358015e+01dB,-4.20969463564543e+01°)
1.00000000000000e+06	(-3.22073448789735e+01dB,-5.27742232249506e+01°)
1.25892541179417e+06	(-3.42945224669759e+01dB,-6.44370237963569e+01°)
1.58489319246112e+06	(-3.66071738864620e+01dB,-7.63303137413150e+01°)
1.99526231496889e+06	(-3.92382025253922e+01dB,-8.71320918575557e+01°)
2.51188643150959e+06	(-4.21244081142436e+01dB,-9.56648997779561e+01°)
3.16227766016839e+06	(-4.51141629710203e+01dB,-1.01498100067487e+02°)
3.98107170553499e+06	(-4.80635164279689e+01dB,-1.04920504607559e+02°)
5.01187233627274e+06	(-5.08817751021590e+01dB,-1.06596724380865e+02°)
6.30957344480196e+06	(-5.35341375061172e+01dB,-1.07270273030120e+02°)
7.94328234724285e+06	(-5.60272724574298e+01dB,-1.07593924788617e+02°)
1.00000000000000e+07	(-5.83915671206348e+01dB,-1.08065203779365e+02°)
1.25892541179417e+07	(-6.06669517253811e+01dB,-1.09033173778701e+02°)
1.58489319246112e+07	(-6.28952926055502e+01dB,-1.10737494853791e+02°)
1.99526231496889e+07	(-6.51186835236873e+01dB,-1.13345734563132e+02°)
2.51188643150959e+07	(-6.73808341278413e+01dB,-1.16969748559276e+02°)
3.16227766016839e+07	(-6.97282763227727e+01dB,-1.21657465088348e+02°)
3.98107170553499e+07	(-7.22086487439419e+01dB,-1.27369231096994e+02°)
5.01187233627274e+07	(-7.48646418166592e+01dB,-1.33957792291153e+02°)
6.30957344480196e+07	(-7.77244511354799e+01dB,-1.41176151874370e+02°)
7.94328234724285e+07	(-8.07926460971620e+01dB,-1.48730190290170e+02°)
1.00000000000000e+08	(-8.40469209305037e+01dB,-1.56366001331838e+02°)
1.25892541179417e+08	(-8.74432561816046e+01dB,-1.63952980121567e+02°)
1.58489319246112e+08	(-9.09265471675688e+01dB,-1.71524172658714e+02°)
1.99526231496889e+08	(-9.44412315402430e+01dB,-1.79262020102780e+02°)
2.51188643150959e+08	(-9.79377983962572e+01dB,1.72560497400586e+02°)
3.16227766016839e+08	(-1.01373308959174e+02dB,1.63663438270382e+02°)
3.98107170553499e+08	(-1.04706934810497e+02dB,1.53838216862094e+02°)
5.01187233627275e+08	(-1.07895775961797e+02dB,1.42987487336623e+02°)
6.30957344480196e+08	(-1.10897837765533e+02dB,1.31110154031995e+02°)
7.94328234724285e+08	(-1.13683940233381e+02dB,1.18238612329470e+02°)
1.00000000000000e+09	(-1.16252755827578e+02dB,1.04355751307491e+02°)
