Freq.	V(p)/v(of)
1.00000000000000e+00	(-8.02925575512687e+01dB,-1.79871922228261e+02°)
1.25892541179417e+00	(-8.02925477698897e+01dB,-1.79838739107572e+02°)
1.58489319246111e+00	(-8.02925322674269e+01dB,-1.79796968376705e+02°)
1.99526231496888e+00	(-8.02925076978807e+01dB,-1.79744385711729e+02°)
2.51188643150958e+00	(-8.02924687579716e+01dB,-1.79678191133044e+02°)
3.16227766016838e+00	(-8.02924070430646e+01dB,-1.79594860014908e+02°)
3.98107170553497e+00	(-8.02923092330808e+01dB,-1.79489955623036e+02°)
5.01187233627272e+00	(-8.02921542189341e+01dB,-1.79357893314638e+02°)
6.30957344480194e+00	(-8.02919085484058e+01dB,-1.79191644078139e+02°)
7.94328234724282e+00	(-8.02915192127929e+01dB,-1.78982362092278e+02°)
1.00000000000000e+01	(-8.02909022228091e+01dB,-1.78718917402585e+02°)
1.25892541179417e+01	(-8.02899245235406e+01dB,-1.78387310685476e+02°)
1.58489319246111e+01	(-8.02883753862923e+01dB,-1.77969942631482e+02°)
1.99526231496888e+01	(-8.02859212026910e+01dB,-1.77444706394058e+02°)
2.51188643150958e+01	(-8.02820341766555e+01dB,-1.76783869374336e+02°)
3.16227766016838e+01	(-8.02758801565528e+01dB,-1.75952713694575e+02°)
3.98107170553498e+01	(-8.02661429747892e+01dB,-1.74907919904332e+02°)
5.01187233627273e+01	(-8.02507512956485e+01dB,-1.73595719205017e+02°)
6.30957344480194e+01	(-8.02264586611350e+01dB,-1.71949930976195e+02°)
7.94328234724282e+01	(-8.01882095816321e+01dB,-1.69890188957254e+02°)
1.00000000000000e+02	(-8.01282110151730e+01dB,-1.67321010683747e+02°)
1.25892541179417e+02	(-8.00346392675827e+01dB,-1.64132965662982e+02°)
1.58489319246112e+02	(-7.98899924351741e+01dB,-1.60208077909191e+02°)
1.99526231496888e+02	(-7.96693277787476e+01dB,-1.55432506230719e+02°)
2.51188643150958e+02	(-7.93390849459832e+01dB,-1.49719477701170e+02°)
3.16227766016838e+02	(-7.88578175631889e+01dB,-1.43042227535829e+02°)
3.98107170553498e+02	(-7.81803843459261e+01dB,-1.35468117252661e+02°)
5.01187233627273e+02	(-7.72658788346561e+01dB,-1.27173975199614e+02°)
6.30957344480194e+02	(-7.60864027650114e+01dB,-1.18422280983756e+02°)
7.94328234724283e+02	(-7.46312436038953e+01dB,-1.09501546183063e+02°)
