Freq.	V(p)/v(of)
1.00000000000000e+00	(9.73792779466509e+01dB,1.79776177706667e+02°)
1.25892541179417e+00	(9.73792227983350e+01dB,1.79696989693800e+02°)
1.58489319246111e+00	(9.73791344224911e+01dB,1.79601667031072e+02°)
1.99526231496888e+00	(9.73789937461785e+01dB,1.79485135187746e+02°)
2.51188643150958e+00	(9.73787704112601e+01dB,1.79341191905336e+02°)
3.16227766016838e+00	(9.73784162284464e+01dB,1.79162178635103e+02°)
3.98107170553497e+00	(9.73778547914690e+01dB,1.78938576143159e+02°)
5.01187233627272e+00	(9.73769650252705e+01dB,1.78658504457090e+02°)
6.30957344480194e+00	(9.73755551528037e+01dB,1.78307103928490e+02°)
7.94328234724282e+00	(9.73733215538972e+01dB,1.77865771222117e+02°)
1.00000000000000e+01	(9.73697838652653e+01dB,1.77311222990926e+02°)
1.25892541179417e+01	(9.73641828874587e+01dB,1.76614363997245e+02°)
1.58489319246111e+01	(9.73553206962261e+01dB,1.75738951881117e+02°)
1.99526231496888e+01	(9.73413120021352e+01dB,1.74640090169303e+02°)
2.51188643150958e+01	(9.73192018614626e+01dB,1.73262667953211e+02°)
3.16227766016838e+01	(9.72843886032463e+01dB,1.71540040425302e+02°)
3.98107170553498e+01	(9.72297786474090e+01dB,1.69393575003112e+02°)
5.01187233627273e+01	(9.71446101838190e+01dB,1.66734255777532e+02°)
6.30957344480194e+01	(9.70129579854488e+01dB,1.63468381883711e+02°)
7.94328234724282e+01	(9.68121490626210e+01dB,1.59510298710092e+02°)
1.00000000000000e+02	(9.65117659355025e+01dB,1.54805148035122e+02°)
1.25892541179417e+02	(9.60745473269244e+01dB,1.49361718912125e+02°)
1.58489319246112e+02	(9.54608226737474e+01dB,1.43287212768894e+02°)
1.99526231496888e+02	(9.46370468940184e+01dB,1.36803986283629e+02°)
2.51188643150958e+02	(9.35859196869202e+01dB,1.30225266394042e+02°)
3.16227766016838e+02	(9.23125983821897e+01dB,1.23887172425322e+02°)
3.98107170553498e+02	(9.08427766006893e+01dB,1.18068360543128e+02°)
5.01187233627273e+02	(8.92139941258934e+01dB,1.12939624266755e+02°)
6.30957344480194e+02	(8.74656708197076e+01dB,1.08560065345559e+02°)
7.94328234724283e+02	(8.56323145945879e+01dB,1.04904937076048e+02°)
1.00000000000000e+03	(8.37408453881698e+01dB,1.01901292225745e+02°)
1.25892541179417e+03	(8.18107418786731e+01dB,9.94566595985590e+01°)
1.58489319246112e+03	(7.98554228636592e+01dB,9.74769800838573e+01°)
1.99526231496888e+03	(7.78838424272341e+01dB,9.58757206419686e+01°)
2.51188643150958e+03	(7.59018532459186e+01dB,9.45773379029867e+01°)
3.16227766016839e+03	(7.39132290380409e+01dB,9.35176499492207e+01°)
3.98107170553498e+03	(7.19203794641806e+01dB,9.26427392533018e+01°)
5.01187233627273e+03	(6.99248295971204e+01dB,9.19072838188884e+01°)
6.30957344480195e+03	(6.79275326707220e+01dB,9.12727594647916e+01°)
7.94328234724283e+03	(6.59290692324298e+01dB,9.07057020441770e+01°)
1.00000000000000e+04	(6.39297698217386e+01dB,9.01760859947294e+01°)
1.25892541179417e+04	(6.19297852946460e+01dB,8.96558104310252e+01°)
1.58489319246112e+04	(5.99291190527408e+01dB,8.91172536801534e+01°)
1.99526231496888e+04	(5.79276278349891e+01dB,8.85318443516851e+01°)
2.51188643150959e+04	(5.59249912892618e+01dB,8.78685935295406e+01°)
3.16227766016839e+04	(5.39206442083806e+01dB,8.70925362187101e+01°)
3.98107170553498e+04	(5.19136580425938e+01dB,8.61630434806939e+01°)
5.01187233627274e+04	(4.99025492438792e+01dB,8.50319983957677e+01°)
6.30957344480195e+04	(4.78849807994970e+01dB,8.36418966154114e+01°)
7.94328234724284e+04	(4.58573113202428e+01dB,8.19240664281935e+01°)
1.00000000000000e+05	(4.38139391728847e+01dB,7.97974494153327e+01°)
1.25892541179417e+05	(4.17464037043517e+01dB,7.71687860588642e+01°)
1.58489319246112e+05	(3.96422772684741e+01dB,7.39355822250517e+01°)
1.99526231496889e+05	(3.74840684594715e+01dB,6.99935696509295e+01°)
2.51188643150959e+05	(3.52486960841301e+01dB,6.52494501048920e+01°)
3.16227766016839e+05	(3.29084129630575e+01dB,5.96353394717013e+01°)
3.98107170553498e+05	(3.04335455627658e+01dB,5.31116649456807e+01°)
5.01187233627274e+05	(2.77942865460684e+01dB,4.56363924812781e+01°)
6.30957344480195e+05	(2.49518193806451e+01dB,3.71011117925311e+01°)
7.94328234724284e+05	(2.18255458082503e+01dB,2.73545288735877e+01°)
1.00000000000000e+06	(1.82578935983144e+01dB,1.66351985213368e+01°)
