Freq.	V(p)/v(of)
1.00000000000000e+00	(6.77348586808878e+01dB,1.78939452913768e+02°)
1.25892541179417e+00	(6.77339188744585e+01dB,1.78643705952103e+02°)
1.58489319246111e+00	(6.77324288259980e+01dB,1.78275851715159e+02°)
1.99526231496888e+00	(6.77300676917010e+01dB,1.77816420226222e+02°)
2.51188643150958e+00	(6.77263277871271e+01dB,1.77241183377440e+02°)
3.16227766016838e+00	(6.77204067831731e+01dB,1.76519982086228e+02°)
3.98107170553497e+00	(6.77110389745144e+01dB,1.75615352854134e+02°)
5.01187233627272e+00	(6.76962331673931e+01dB,1.74480991905750e+02°)
6.30957344480194e+00	(6.76728703858537e+01dB,1.73060190083523e+02°)
7.94328234724282e+00	(6.76360983550420e+01dB,1.71284562165418e+02°)
1.00000000000000e+01	(6.75784489230078e+01dB,1.69073749089373e+02°)
1.25892541179417e+01	(6.74886198439631e+01dB,1.66337373040995e+02°)
1.58489319246111e+01	(6.73499500603252e+01dB,1.62981395522724e+02°)
1.99526231496888e+01	(6.71388587744534e+01dB,1.58921897073645e+02°)
2.51188643150958e+01	(6.68239958502904e+01dB,1.54109123128668e+02°)
3.16227766016838e+01	(6.63674860413644e+01dB,1.48561191633918e+02°)
3.98107170553498e+01	(6.57298730616973e+01dB,1.42397904967482e+02°)
5.01187233627273e+01	(6.48790555233478e+01dB,1.35853541733222e+02°)
6.30957344480194e+01	(6.38002532830503e+01dB,1.29246686114787e+02°)
7.94328234724282e+01	(6.25013729005895e+01dB,1.22908412738812e+02°)
1.00000000000000e+02	(6.10100691622068e+01dB,1.17103419327684e+02°)
1.25892541179417e+02	(5.93645777602526e+01dB,1.11984980740821e+02°)
1.58489319246112e+02	(5.76039567156880e+01dB,1.07595997490726e+02°)
1.99526231496888e+02	(5.57617983908245e+01dB,1.03898750807636e+02°)
2.51188643150958e+02	(5.38639700920159e+01dB,1.00809965697346e+02°)
3.16227766016838e+02	(5.19289638592359e+01dB,9.82278801635819e+01°)
3.98107170553498e+02	(4.99693086341722e+01dB,9.60485404925290e+01°)
5.01187233627273e+02	(4.79930952087779e+01dB,9.41735662497706e+01°)
6.30957344480194e+02	(4.60052106234883e+01dB,9.25125401852840e+01°)
7.94328234724283e+02	(4.40081811157814e+01dB,9.09824917202019e+01°)
1.00000000000000e+03	(4.20026397604364e+01dB,8.95060670472193e+01°)
1.25892541179417e+03	(3.99874559307544e+01dB,8.80093864010755e+01°)
1.58489319246112e+03	(3.79595483860097e+01dB,8.64203532030664e+01°)
